call_number,domain,quality,n_shots,case_index,test_input,prompt,score,prompt_chars
74,json_extraction,medium,10,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.""\nJSON:",0.6,1446
75,json_extraction,medium,10,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Order #5523 placed on March 12 for 3 units of Widget X at $15 each.""\nJSON:",0.4,1438
76,json_extraction,medium,10,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.""\nJSON:",0.6,1453
77,json_extraction,medium,10,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.""\nJSON:",0.375,1437
78,json_extraction,medium,10,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Emma Wilson, age 22, studies computer science at MIT. She is from Boston.""\nJSON:",0.8,1444
79,json_extraction,medium,10,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.""\nJSON:",0.125,1443
80,json_extraction,medium,10,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"You are a helpful assistant. Extract information from the text below and return it as JSON.\n\nExamples:\nInput: Alice, 30, is a nurse from Boston.\nOutput: {""name"": ""Alice"", ""age"": ""30"", ""job"": ""nurse""}\nInput: Bob Chen is 25 and works as a designer in Seattle.\nOutput: {""name"": ""Bob"", ""job"": ""designer"", ""city"": ""Seattle""}\nInput: Order #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOutput: {""order"": ""1023"", ""quantity"": 2, ""item"": ""Laptop Y""}\nInput: Flight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\nOutput: {""flight"": ""BA309"", ""from"": ""London"", ""to"": ""Paris""}\nInput: Subscription Basic costs $9/month, includes 1 user and 10GB storage.\nOutput: {""plan"": ""Basic"", ""price"": ""$9/month"", ""users"": 1}\nInput: Employee E-100, name Tom Hardy, department engineering, salary $90000.\nOutput: {""name"": ""Tom Hardy"", ""department"": ""engineering""}\nInput: Car Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nOutput: {""model"": ""Toyota Camry"", ""year"": ""2021"", ""price"": ""$22000""}\nInput: Dr. Chen Lee teaches chemistry at Harvard.\nOutput: {""name"": ""Dr. Chen Lee"", ""university"": ""Harvard""}\nInput: Invoice INV-0091 for client DataCorp, total $1200, due May 15.\nOutput: {""invoice"": ""INV-0091"", ""amount"": ""$1200""}\nInput: Meeting on March 3 at 10am in Room A with the finance team.\nOutput: {""date"": ""March 3"", ""time"": ""10am""}\n\n\nText: ""Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.""\nJSON:",0.175,1453
81,json_extraction,low,1,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nJohn Smith is 34 years old and lives in New York. He works as a software engineer.",0.0,210
82,json_extraction,low,1,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nMaria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,199
83,json_extraction,low,1,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nThe product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,200
84,json_extraction,low,1,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nFlight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,203
85,json_extraction,low,1,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nOrder #5523 placed on March 12 for 3 units of Widget X at $15 each.",0.0,195
86,json_extraction,low,1,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nDr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,210
87,json_extraction,low,1,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nThe laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,194
88,json_extraction,low,1,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nEmma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,201
89,json_extraction,low,1,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nInvoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,200
90,json_extraction,low,1,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\n\nRestaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.",0.0,210
91,json_extraction,low,3,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nJohn Smith is 34 years old and lives in New York. He works as a software engineer.",0.0,387
92,json_extraction,low,3,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nMaria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,376
93,json_extraction,low,3,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nThe product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,377
94,json_extraction,low,3,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nFlight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,380
95,json_extraction,low,3,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nOrder #5523 placed on March 12 for 3 units of Widget X at $15 each.",0.0,372
96,json_extraction,low,3,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nDr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,387
97,json_extraction,low,3,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nThe laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,371
98,json_extraction,low,3,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nEmma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,378
99,json_extraction,low,3,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nInvoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,377
100,json_extraction,low,3,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\n\nRestaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.",0.0,387
101,json_extraction,low,5,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nJohn Smith is 34 years old and lives in New York. He works as a software engineer.",0.0,582
102,json_extraction,low,5,1,"Maria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nMaria Garcia, 28, from Chicago. She is a doctor at St. Mary's hospital.",0.0,571
103,json_extraction,low,5,2,"The product SKU is AB-1042, priced at $29.99, available in red and blue.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nThe product SKU is AB-1042, priced at $29.99, available in red and blue.",0.0,572
104,json_extraction,low,5,3,"Flight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nFlight AA204 departs at 08:30 from Dallas, arrives at 11:45 in Los Angeles.",0.14,575
105,json_extraction,low,5,4,Order #5523 placed on March 12 for 3 units of Widget X at $15 each.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nOrder #5523 placed on March 12 for 3 units of Widget X at $15 each.",0.0,567
106,json_extraction,low,5,5,"Dr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nDr. Raj Patel, 45, is a cardiologist based in Houston with 20 years of experience.",0.0,582
107,json_extraction,low,5,6,"The laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nThe laptop model XPS-15 has 16GB RAM, 512GB SSD, and costs $1,299.",0.0,566
108,json_extraction,low,5,7,"Emma Wilson, age 22, studies computer science at MIT. She is from Boston.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nEmma Wilson, age 22, studies computer science at MIT. She is from Boston.",0.0,573
109,json_extraction,low,5,8,"Invoice INV-8821 for client TechCorp, total amount $4,500, due April 30.","Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nInvoice INV-8821 for client TechCorp, total amount $4,500, due April 30.",0.0,572
110,json_extraction,low,5,9,Restaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.,"Extract info from this text as JSON.\n\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\n\nRestaurant La Bella opens at 11am and closes at 10pm. It is located at 45 Main St.",0.0,582
111,json_extraction,low,10,0,John Smith is 34 years old and lives in New York. He works as a software engineer.,"Extract info from this text as JSON.\n\nAlice, 30, is a nurse from Boston.\nAlice is a nurse. She is 30 years old.\nBob Chen is 25 and works as a designer in Seattle.\n{""name"": ""Bob"", ""age"": ""twenty five""}\nOrder #1023 placed on June 5 for 2 units of Laptop Y at $800 each.\nOrder number 1023, June, laptops, 800 dollars\nFlight BA309 departs at 14:00 from London, arrives at 17:30 in Paris.\n{""flight_number"": ""BA-309"", ""departure_time"": ""2pm"", ""destination"": ""France""}\nSubscription Basic costs $9/month, includes 1 user and 10GB storage.\nBasic plan, nine dollars, storage\nEmployee E-100, name Tom Hardy, department engineering, salary $90000.\n{""id"": 100, ""dept"": ""eng"", ""pay"": ""90k""}\nCar Toyota Camry year 2021, mileage 45000 km, color silver, price $22000.\nToyota 2021 silver car 22000\nDr. Chen Lee teaches chemistry at Harvard.\n{""professor"": ""Chen"", ""teaches"": ""Harvard""}\nInvoice INV-0091 for client DataCorp, total $1200, due May 15.\ninvoice for datacorp, 1200 dollars\nMeeting on March 3 at 10am in Room A with the finance team.\n{""meeting"": ""yes"", ""room"": ""A""}\n\nJohn Smith is 34 years old and lives in New York. He works as a software engineer.",0.0,1140
