call_number,domain,quality,n_shots,case_index,test_input,score,score_pct
217,Code Debugging,Low,3,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.9375,93.8%
218,Code Debugging,Low,3,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.55,55.0%
219,Code Debugging,Low,3,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.6429,64.3%
220,Code Debugging,Low,3,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
221,Code Debugging,Low,5,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.8571,85.7%
222,Code Debugging,Low,5,1,"def is_palindrome(s):
    return s == s.reverse()",0.9,90.0%
223,Code Debugging,Low,5,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",1.0,100.0%
224,Code Debugging,Low,5,3,"def divide(a, b):
    return a / b",0.3667,36.7%
225,Code Debugging,Low,5,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.5,50.0%
226,Code Debugging,Low,5,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.4583,45.8%
227,Code Debugging,Low,5,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.9375,93.8%
228,Code Debugging,Low,5,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.55,55.0%
229,Code Debugging,Low,5,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.1429,14.3%
230,Code Debugging,Low,5,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.8333,83.3%
231,Code Debugging,Low,10,0,"def sum_list(numbers):
    total = 0
    for i in range(len(numbers) + 1):
        total += numbers[i]
    return total",0.9286,92.9%
232,Code Debugging,Low,10,1,"def is_palindrome(s):
    return s == s.reverse()",0.8,80.0%
233,Code Debugging,Low,10,2,"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n)",0.75,75.0%
234,Code Debugging,Low,10,3,"def divide(a, b):
    return a / b",0.2,20.0%
235,Code Debugging,Low,10,4,"def find_max(lst):
    max_val = 0
    for num in lst:
        if num > max_val:
            max_val = num
    return max_val",0.8333,83.3%
236,Code Debugging,Low,10,5,"def count_vowels(s):
    count = 0
    for char in s:
        if char in 'aeiou':
            count += 1
    return count",0.4583,45.8%
237,Code Debugging,Low,10,6,"def binary_search(arr, target):
    left, right = 0, len(arr)
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == target:
            return mid
        elif arr[mid] < target:
            left = mid + 1
        else:
            right = mid - 1
    return -1",0.875,87.5%
238,Code Debugging,Low,10,7,"def remove_duplicates(lst):
    seen = []
    for item in lst:
        if item not in seen:
            seen.append(item)
    return seen",0.35,35.0%
239,Code Debugging,Low,10,8,"def celsius_to_fahrenheit(c):
    return c * 9 / 5 + 32",0.1429,14.3%
240,Code Debugging,Low,10,9,"def merge_dicts(d1, d2):
    for key, value in d2:
        d1[key] = value
    return d1",0.6667,66.7%
241,Math Word Problems,High,1,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
242,Math Word Problems,High,1,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
243,Math Word Problems,High,1,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
244,Math Word Problems,High,1,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
245,Math Word Problems,High,1,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
246,Math Word Problems,High,1,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
247,Math Word Problems,High,1,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
248,Math Word Problems,High,1,7,Sarah saves $15 every week. How much will she save in 52 weeks?,1.0,100.0%
249,Math Word Problems,High,1,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
250,Math Word Problems,High,1,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
251,Math Word Problems,High,3,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
252,Math Word Problems,High,3,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
253,Math Word Problems,High,3,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
254,Math Word Problems,High,3,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
255,Math Word Problems,High,3,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
256,Math Word Problems,High,3,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
257,Math Word Problems,High,3,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
258,Math Word Problems,High,3,7,Sarah saves $15 every week. How much will she save in 52 weeks?,1.0,100.0%
259,Math Word Problems,High,3,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
260,Math Word Problems,High,3,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
261,Math Word Problems,High,5,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
262,Math Word Problems,High,5,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
263,Math Word Problems,High,5,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
264,Math Word Problems,High,5,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
265,Math Word Problems,High,5,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
266,Math Word Problems,High,5,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
267,Math Word Problems,High,5,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
268,Math Word Problems,High,5,7,Sarah saves $15 every week. How much will she save in 52 weeks?,1.0,100.0%
269,Math Word Problems,High,5,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
270,Math Word Problems,High,5,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
271,Math Word Problems,High,10,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
272,Math Word Problems,High,10,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
273,Math Word Problems,High,10,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
274,Math Word Problems,High,10,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
275,Math Word Problems,High,10,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
276,Math Word Problems,High,10,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
277,Math Word Problems,High,10,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
278,Math Word Problems,High,10,7,Sarah saves $15 every week. How much will she save in 52 weeks?,1.0,100.0%
279,Math Word Problems,High,10,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
280,Math Word Problems,High,10,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
281,Math Word Problems,Medium,1,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,0.0,0.0%
282,Math Word Problems,Medium,1,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,0.0,0.0%
283,Math Word Problems,Medium,1,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
284,Math Word Problems,Medium,1,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
285,Math Word Problems,Medium,1,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",0.0,0.0%
286,Math Word Problems,Medium,1,5,A shirt costs $40. A 25% discount is applied. What is the final price?,0.0,0.0%
287,Math Word Problems,Medium,1,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,0.0,0.0%
288,Math Word Problems,Medium,1,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
289,Math Word Problems,Medium,1,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,0.0,0.0%
290,Math Word Problems,Medium,1,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
291,Math Word Problems,Medium,3,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,0.0,0.0%
292,Math Word Problems,Medium,3,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,0.0,0.0%
293,Math Word Problems,Medium,3,2,A class has 30 students. 40% are girls. How many boys are in the class?,0.0,0.0%
294,Math Word Problems,Medium,3,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,0.0,0.0%
295,Math Word Problems,Medium,3,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",0.0,0.0%
296,Math Word Problems,Medium,3,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
297,Math Word Problems,Medium,3,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,0.0,0.0%
298,Math Word Problems,Medium,3,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
299,Math Word Problems,Medium,3,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,0.0,0.0%
300,Math Word Problems,Medium,3,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
301,Math Word Problems,Medium,5,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,0.0,0.0%
302,Math Word Problems,Medium,5,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,0.0,0.0%
303,Math Word Problems,Medium,5,2,A class has 30 students. 40% are girls. How many boys are in the class?,0.0,0.0%
304,Math Word Problems,Medium,5,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,0.0,0.0%
305,Math Word Problems,Medium,5,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",0.0,0.0%
306,Math Word Problems,Medium,5,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
307,Math Word Problems,Medium,5,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,0.0,0.0%
308,Math Word Problems,Medium,5,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
309,Math Word Problems,Medium,5,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,0.0,0.0%
310,Math Word Problems,Medium,5,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
311,Math Word Problems,Medium,10,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,0.0,0.0%
312,Math Word Problems,Medium,10,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,0.0,0.0%
313,Math Word Problems,Medium,10,2,A class has 30 students. 40% are girls. How many boys are in the class?,0.0,0.0%
314,Math Word Problems,Medium,10,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,0.0,0.0%
315,Math Word Problems,Medium,10,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",0.0,0.0%
316,Math Word Problems,Medium,10,5,A shirt costs $40. A 25% discount is applied. What is the final price?,0.0,0.0%
317,Math Word Problems,Medium,10,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,0.0,0.0%
318,Math Word Problems,Medium,10,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
319,Math Word Problems,Medium,10,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,0.0,0.0%
320,Math Word Problems,Medium,10,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,1.0,100.0%
321,Math Word Problems,Low,1,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
322,Math Word Problems,Low,1,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
323,Math Word Problems,Low,1,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
324,Math Word Problems,Low,1,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
325,Math Word Problems,Low,1,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
326,Math Word Problems,Low,1,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
327,Math Word Problems,Low,1,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
328,Math Word Problems,Low,1,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
329,Math Word Problems,Low,1,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
330,Math Word Problems,Low,1,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,0.0,0.0%
331,Math Word Problems,Low,3,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
332,Math Word Problems,Low,3,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
333,Math Word Problems,Low,3,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
334,Math Word Problems,Low,3,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
335,Math Word Problems,Low,3,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
336,Math Word Problems,Low,3,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
337,Math Word Problems,Low,3,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
338,Math Word Problems,Low,3,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
339,Math Word Problems,Low,3,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
340,Math Word Problems,Low,3,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,0.0,0.0%
341,Math Word Problems,Low,5,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
342,Math Word Problems,Low,5,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
343,Math Word Problems,Low,5,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
344,Math Word Problems,Low,5,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
345,Math Word Problems,Low,5,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
346,Math Word Problems,Low,5,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
347,Math Word Problems,Low,5,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
348,Math Word Problems,Low,5,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
349,Math Word Problems,Low,5,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
350,Math Word Problems,Low,5,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,0.0,0.0%
351,Math Word Problems,Low,10,0,A shop sells apples for $2 each and oranges for $3 each. Tom buys 4 apples and 3 oranges. How much does Tom spend?,1.0,100.0%
352,Math Word Problems,Low,10,1,A train travels 60 km/h for 2 hours then 80 km/h for 3 hours. What is the total distance?,1.0,100.0%
353,Math Word Problems,Low,10,2,A class has 30 students. 40% are girls. How many boys are in the class?,1.0,100.0%
354,Math Word Problems,Low,10,3,A rectangle has length 12 cm and width 5 cm. What is its perimeter?,1.0,100.0%
355,Math Word Problems,Low,10,4,"If 5 workers finish a job in 8 days, how many days will 10 workers take for the same job?",1.0,100.0%
356,Math Word Problems,Low,10,5,A shirt costs $40. A 25% discount is applied. What is the final price?,1.0,100.0%
357,Math Word Problems,Low,10,6,A tank holds 500 liters. It leaks 5 liters per hour. After 20 hours how many liters remain?,1.0,100.0%
358,Math Word Problems,Low,10,7,Sarah saves $15 every week. How much will she save in 52 weeks?,0.0,0.0%
359,Math Word Problems,Low,10,8,A pizza is cut into 8 equal slices. 3 people each eat 2 slices. How many slices are left?,1.0,100.0%
360,Math Word Problems,Low,10,9,A car uses 6 liters of fuel per 100 km. How much fuel is needed for a 350 km trip?,0.0,0.0%
361,Text Summarization,High,1,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8833,88.3%
362,Text Summarization,High,1,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.5208,52.1%
363,Text Summarization,High,1,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
364,Text Summarization,High,1,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
365,Text Summarization,High,1,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
366,Text Summarization,High,1,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",1.0,100.0%
367,Text Summarization,High,1,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
368,Text Summarization,High,1,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
369,Text Summarization,High,1,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,1.0,100.0%
370,Text Summarization,High,1,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",1.0,100.0%
371,Text Summarization,High,3,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8833,88.3%
372,Text Summarization,High,3,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.5208,52.1%
373,Text Summarization,High,3,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
374,Text Summarization,High,3,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
375,Text Summarization,High,3,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
376,Text Summarization,High,3,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",1.0,100.0%
377,Text Summarization,High,3,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
378,Text Summarization,High,3,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
379,Text Summarization,High,3,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,1.0,100.0%
380,Text Summarization,High,3,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",1.0,100.0%
381,Text Summarization,High,5,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.8833,88.3%
382,Text Summarization,High,5,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.5208,52.1%
383,Text Summarization,High,5,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
384,Text Summarization,High,5,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
385,Text Summarization,High,5,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
386,Text Summarization,High,5,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",1.0,100.0%
387,Text Summarization,High,5,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
388,Text Summarization,High,5,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
389,Text Summarization,High,5,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,1.0,100.0%
390,Text Summarization,High,5,9,"The microbiome refers to the trillions of microorganisms living in the human gut. These bacteria play critical roles in digestion, immune function, and even mental health through the gut-brain axis. Diet, antibiotics, and lifestyle significantly affect microbiome composition, with imbalances linked to conditions like IBS and depression.",1.0,100.0%
391,Text Summarization,High,10,0,"The Amazon rainforest, often referred to as the lungs of the Earth, produces about 20% of the world's oxygen. It covers over 5.5 million square kilometers and is home to 10% of all species on Earth. Deforestation has accelerated in recent decades due to agriculture, logging, and infrastructure development, threatening biodiversity and contributing to climate change.",0.7833,78.3%
392,Text Summarization,High,10,1,"Artificial intelligence has transformed industries from healthcare to finance. Machine learning models now diagnose diseases with accuracy comparable to doctors, automate stock trading, and power recommendation engines. Despite these advances, ethical concerns around bias, privacy, and job displacement remain significant challenges.",0.5208,52.1%
393,Text Summarization,High,10,2,"The Great Wall of China stretches over 21,000 kilometers and was built over many centuries by various Chinese dynasties. Its primary purpose was military defense. Today it is a UNESCO World Heritage Site and one of the most visited tourist attractions in the world, drawing over 10 million visitors annually.",0.875,87.5%
394,Text Summarization,High,10,3,"Quantum computing uses qubits instead of classical bits, allowing computations to occur in superposition. This enables quantum computers to solve certain problems exponentially faster than classical computers. Applications include drug discovery, cryptography, and optimization problems. IBM and Google are leading the race to achieve quantum advantage.",1.0,100.0%
395,Text Summarization,High,10,4,"Sleep is essential for physical and mental health. During sleep, the brain consolidates memories, the body repairs tissues, and the immune system strengthens. Adults need 7-9 hours of sleep per night. Chronic sleep deprivation is linked to obesity, diabetes, cardiovascular disease, and cognitive decline.",0.9167,91.7%
396,Text Summarization,High,10,5,"Climate change is causing global temperatures to rise at an unprecedented rate. The past decade has been the hottest on record, with consequences including rising sea levels, more frequent extreme weather events, and shifting ecosystems. International agreements like the Paris Accord aim to limit warming to 1.5°C above pre-industrial levels.",1.0,100.0%
397,Text Summarization,High,10,6,"The human genome contains approximately 3 billion base pairs and around 20,000 protein-coding genes. The Human Genome Project, completed in 2003, mapped the entire genome. This has enabled advances in personalized medicine, genetic disease diagnosis, and gene therapies like CRISPR.",1.0,100.0%
398,Text Summarization,High,10,7,"Social media platforms have fundamentally changed how people communicate and consume information. While they enable global connectivity and grassroots movements, they also spread misinformation rapidly and have been linked to increased anxiety and depression, especially among teenagers.",1.0,100.0%
399,Text Summarization,High,10,8,Electric vehicles are becoming increasingly mainstream as battery technology improves and charging infrastructure expands. EVs produce zero direct emissions and have lower lifetime operating costs than gasoline vehicles. Governments worldwide are setting targets to phase out internal combustion engines by 2035-2040.,1.0,100.0%
